hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag
HV0003,B02764,B02764,2021-01-01T00:26:48.000Z,2021-01-01T00:33:30.000Z,2021-01-01T00:33:48.000Z,2021-01-01T00:45:38.000Z,213,126,3.98,710,17.81,0.0,0.53,1.58,0.0,,0.0,14.62,N,N,"",N,N
HV0003,B02764,B02764,2021-01-01T00:42:21.000Z,2021-01-01T00:49:04.000Z,2021-01-01T00:49:30.000Z,2021-01-01T01:05:26.000Z,126,247,2.7,956,14.7,0.0,0.44,1.3,0.0,,0.0,15.27,N,N,"",N,N
HV0004,B02800,,2020-12-31T23:57:45.000Z,,2021-01-01T00:06:06.000Z,2021-01-01T00:19:55.000Z,168,75,4.08,828,17.95,0.0,0.0,1.27,0.0,,0.0,0.0,N,N,N,N,N
HV0004,B02800,,2021-01-01T00:17:47.000Z,,2021-01-01T00:28:06.000Z,2021-01-01T00:40:46.000Z,151,143,2.45,759,13.95,0.0,0.0,0.99,2.75,,0.0,0.0,N,N,N,N,N
HV0004,B02800,,2021-01-01T00:35:15.000Z,,2021-01-01T00:53:48.000Z,2021-01-01T01:13:37.000Z,116,263,6.09,1189,26.95,0.0,0.0,1.82,2.75,,0.0,0.0,N,N,N,N,N
HV0005,B02510,,2021-01-01T00:07:39.000Z,,2021-01-01T00:12:34.000Z,2021-01-01T00:29:19.000Z,232,68,3.886,1005,19.62,0.0,0.59,1.74,2.75,,0.0,14.82,N,N,N,N,Y
HV0005,B02510,,2021-01-01T00:31:15.000Z,,2021-01-01T00:33:30.000Z,2021-01-01T00:46:06.000Z,68,161,2.157,756,10.93,0.0,0.33,0.97,2.75,,0.0,9.43,N,N,N,N,Y
HV0005,B02510,,2021-01-01T00:33:56.000Z,,2021-01-01T00:46:19.000Z,2021-01-01T00:55:26.000Z,168,42,2.019,547,8.9,0.0,0.27,0.79,0.0,,0.0,6.82,N,N,N,N,N
HV0005,B02510,,2021-01-01T00:54:56.000Z,,2021-01-01T00:59:50.000Z,2021-01-01T01:15:15.000Z,116,242,6.902,925,19.11,0.0,0.57,1.7,0.0,,0.0,21.99,N,N,N,N,N
HV0003,B02864,B02864,2021-01-01T00:19:22.000Z,2021-01-01T00:21:04.000Z,2021-01-01T00:22:22.000Z,2021-01-01T00:49:03.000Z,256,35,5.24,1601,23.64,0.0,0.71,2.1,0.0,,0.0,20.06,N,N,"",N,N
HV0003,B02764,B02764,2021-01-01T00:06:36.000Z,2021-01-01T00:08:27.000Z,2021-01-01T00:08:27.000Z,2021-01-01T00:25:17.000Z,112,36,3.56,1010,15.68,0.0,0.65,1.4,0.0,,2.82,13.3,N,N,"",N,N
HV0003,B02764,B02764,2021-01-01T00:25:11.000Z,2021-01-01T00:27:10.000Z,2021-01-01T00:27:44.000Z,2021-01-01T01:02:46.000Z,36,247,12.8,2102,38.48,6.12,1.64,3.97,0.0,,4.7,32.63,N,N,"",N,N
HV0003,B02764,B02764,2021-01-01T00:53:44.000Z,2021-01-01T00:55:03.000Z,2021-01-01T00:55:23.000Z,2021-01-01T01:15:07.000Z,233,265,5.91,1184,22.76,20.0,1.28,0.0,0.0,,0.0,19.42,N,N,"",N,N
HV0003,B02872,B02872,2021-01-01T00:02:41.000Z,2021-01-01T00:04:52.000Z,2021-01-01T00:05:04.000Z,2021-01-01T00:25:52.000Z,245,22,9.2,1248,24.83,6.12,0.93,2.75,0.0,,0.0,21.2,N,N,"",N,N
HV0003,B02872,B02872,2021-01-01T00:34:15.000Z,2021-01-01T00:37:00.000Z,2021-01-01T00:37:19.000Z,2021-01-01T00:50:12.000Z,22,227,3.36,773,11.7,0.0,0.35,1.04,0.0,,0.0,10.79,N,N,"",N,N
HV0003,B02872,B02872,2021-01-01T00:52:01.000Z,2021-01-01T00:54:24.000Z,2021-01-01T00:56:08.000Z,2021-01-01T01:32:49.000Z,228,250,21.59,2201,49.78,0.0,1.98,4.97,2.75,,4.7,42.84,N,N,"",N,N
HV0005,B02510,,2021-01-01T00:35:53.000Z,,2021-01-01T00:40:04.000Z,2021-01-01T00:58:03.000Z,232,238,7.903,1079,23.31,0.0,0.7,2.07,2.75,,0.0,17.81,N,N,N,N,N
